id,title,place,description,siteUrl,favoritesCount,commentsCount,rating
51362,"Сладкий вкус справедливости: рецензия на фильм «Револьвер»","","<p>Кинопрокатная компания <a class="external-link" href="https://provzglyad.com/" rel="nofollow" target="_blank"><strong><u>«Про:Взгляд»</u></strong></a> регулярно приносит на российские экраны жемчужины кинематографа со всего мира. В этот раз прокатчик удивляет отборным южнокорейским кино с мрачной атмосферой и медитативным развитием сюжета. Кроме того, в главных ролях наверняка знакомые российскому зрителю лица — лауреатка Каннского кинофестиваля Чон До Ён, Чи Чхан Ук из «Большего зла» и Ли Джон Джэ из «Игры в кальмара». Какой получилась криминальная драма, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>",https://kudago.com/all/news/retsenziya-na-film-revolver/,0,0,0.5
51358,"В России могут организовать посадку на поезд по биометрии","","<p>Не придётся показывать документы или билет.</p>",https://kudago.com/all/news/v-rossii-mogut-organizovat/,0,0,0.5
51359,"Авиарейсы из Петербурга в Дубай станут ежедневными","","<p>Время полёта — семь часов.</p>",https://kudago.com/spb/news/aviarejsyi-iz-peterburga-v-dubaj/,0,0,0.5
51357,"Первая декада сентября выдалась в Петербурге аномально солнечной","","<p>Вторая будет не хуже.</p>",https://kudago.com/spb/news/pervaya-dekada-sentyabrya-vyidalas/,0,0,0.5
51354,"Вышла аудиоверсия книги «Канашибари. Пока не погаснет последний фонарь. Том II»","","<p>Герои снова проверяют себя на прочность в мрачных испытаниях.</p>",https://kudago.com/all/news/vyishla-audioversiya-knigi/,0,0,0.5
51355,"В Выборге законсервируют средневековый собор","","<p>Его руины станут частью общественного пространства.</p>",https://kudago.com/spb/news/v-vyiborge-zakonserviruyut-srednevekovyj-sobor/,0,0,0.5
51352,"Эрмитаж отменят плату за вход на три дня","","<p>Но только по вечерам.</p>",https://kudago.com/spb/news/besplatnyj-vhod-v-ermitazh-po-vecheram/,0,0,0.5
51351,"Вышел трейлер байопика о Дональде Трампе","","<p>В ленте расскажут о молодости будущего президента США.</p>",https://kudago.com/all/news/trejler-bajopika-o-donalde-trampe/,0,0,0.5
51318,"Новая культура зовёт: гид по кинофестивалю Beat Weekend 2024","","<p>С 12 по 22 сентября в 27 городах России пройдёт фестиваль документального кино о новой культуре Beat Weekend. Вот уже несколько лет создатели фестиваля собирают региональную спецпрограмму, куда входят лучшие показы московского Beat Film Festival. Этот год не стал исключением, и авторам есть чем удивить поклонников документального кино. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>",https://kudago.com/all/news/gid-po-kinofestivalyu-beat-weekend-2024/,0,0,0.5
51349,"Опубликован новый трейлер мультфильма «Дикий робот»","","<p>Мировая премьера — в конце сентября.</p>",https://kudago.com/all/news/trejler-multfilma-dikij-robot/,0,0,0.5
51345,"В России могут запретить квадроберов","","<p>Подражание животным опасно для подростков и их окружения, считают инициаторы идеи.</p>",https://kudago.com/all/news/v-rossii-mogut-zapretit/,0,0,0.5
51346,"Стала известна стоимость проезда по ВСМ","","<p>Ввод в эксплуатацию намечен через четыре года.</p>",https://kudago.com/all/news/stala-izvestna-stoimost-proezda-po-vcm/,0,0,0.5
51342,"Из Финского залива подняли обломки советского самолёта времён ВОВ","","<p>Они станут экспонатами музея.</p>",https://kudago.com/spb/news/iz-finskogo-zaliva-podnyali/,0,0,0.5
51343,"На трассе М-11 хотят сделать музыкальную разметку","","<p>Она помогает водителям следить за расстоянием до обочины.</p>",https://kudago.com/all/news/na-trasse-m-11-hotyat-sdelat/,0,0,0.5
51341,"Пулково запускает бесплатный шаттл до терминала","","<p>Он  будет курсировать по ночам.</p>",https://kudago.com/spb/news/pulkovo-zapuskaet-besplatnyj-shattl-do-terminala/,0,0,0.5
51340,"В Финском заливе заметили белых цапель","","<p>Они охотились рядом с дамбой.</p>",https://kudago.com/spb/news/v-finskom-zalive-zametili-belyih/,0,0,0.5
51336,"Стартовал кастинг для нового сериала про Гарри Поттера","","<p>Исполнителей ищут в Британии и Ирландии.</p>",https://kudago.com/all/news/startoval-kasting-dlya-novogo/,0,0,0.5
51335,"Стало известно, кто снимет четвёртого «Человека-паука»","","<p>Стороны ведут переговоры.</p>",https://kudago.com/all/news/kto-snimet-chetvertogo-cheloveka-pauka/,0,0,0.5
51333,"В Пушкине реставрируют старинный вокзал","","<p>Работы планируют завершить до конца года.</p>",https://kudago.com/spb/news/v-pushkine-restavriruyut-vokzal/,0,0,0.5
51334,"Создатели нового фильма «Буратино» запустили масштабный кастинг","","<p>Любой желающий может стать частью актёрской команды.</p>",https://kudago.com/all/news/kasting-v-buratino/,0,0,0.5
